NodeIDParse,NodeNameParse,NextNodeParse,NodeDataParse,ChioceDataParse
1,Z0,2|3|4,早上，在兰斯顿城市爆发了僵尸瘟疫R病毒，蔓延速度很快。在早上8：30，你醒来了，看见电视播放着Breaking News。僵尸到处疯狂的破坏，而且一旦僵尸吐出来的液体接触到人或其他动物就会感染他们。你透过窗户看到街上有些僵尸在行走，这时候你会,1
,,,,
2,Z1,5|6|7,你快速地收拾好了行李，但是这时候你的疑心犯了，决定要去好友珍妮家查探情况，但是发现僵尸真的很多。,用很快的速度收拾好行李，准备出发到远处。
3,Z2,5|6|8,尽管外面一片狼藉，你淡定地坐在沙发上，enjoy着咖啡，看着电视，但是突然没电了，这时候你会,淡定的完成每日的洗漱。
4,Z3,5|6|9,你等待了十几分钟，警察是来了，但是由于警车的鸣笛声引来了更多的僵尸，警察都被困在了警车里面，僵尸汹涌而上，把警车包围得水泄不通，你吓坏了，如果僵尸换成正常人，你都觉得恶心,打电话报警，让警察帮忙解围。
5,Z4,10|11,从正门走出去，你看见一个漂亮的女孩蹲在树下，同时一只缺了脚的僵尸正向她走去，你会,从正门走出去
6,Z5,11|14,尽走到后门的花园，你发现电闸闪着火花，与此同时，邻居家二楼清晰的响起了打斗的声音，这时你听到了正门传来的敲门声，你会,走后门
7,Z6,10|12|14,你从家里的窗户扔出了一个乒乓球，不幸僵尸没有注意，但是发现了一个女孩，你会,引起僵尸注意
8,Z7,13|14|15,当你拿起手机的，发现点亮只剩下百分之一，又是昨晚修仙看剧的后果，你拿起手机拨打电话：“对不起，您所拨打的电话已关机。”,打电话给朋友
9,Z8,11|16,你锁上门窗，躲在沙发后面，静心地等待。突然天花炸了，穿了一个大窟窿，你大吃一惊,把家门封锁起来，直到僵尸散开为止
10,Z9,,你用手枪向女孩周围地僵尸打了几发，自以为就取得了女孩的信任，但是同时引来了更多的僵尸，女孩向你冲了过来，一般正常的女孩可能会吓坏了，自己就觉得她非比寻常。女孩金发飘逸的同时你发现她脖子上有块大面积的淤青，血管也同时式绿色的，这时候你确信她已经被感染了，你想反杀她，迅雷不及掩耳之势，你已向她脑袋开了一枪，但是你却被她咬了脖子，无奈下，你不想感染他人，吞枪自杀身亡。,喊女孩过来
11,Z10,18|19,在你走掉的同时，你感到一种幸运感，因为远处的警车引走了你家门的僵尸，但同时又有远离你家门的一个爆炸声引走了门前路的一堆僵尸，你的好奇心犯了，你会,掉头走
12,Z11,17|18|19,你观察了一会儿，你发现路上的僵尸打斗异常，都追着一个人跑，但是毕竟他单身一人，过了几十秒钟就被僵尸重重包围，挣扎了不久就被僵尸完全解刨了。看到这时你有种想呕吐的感觉，但是又不想死，于是把呕吐物吞了回去。慢慢缓过来后，只发现地面被姨妈染红了，而且还能听见锯木头的声音，你会,坐山观虎斗
13,Z12,,扔掉手机，BGM THUG LIFE响起，但是不幸的是，手机砸到正在吃尸体的僵尸了，你手无寸铁僵尸冲过来把你肢解了。,扔掉手机
14,Z13,20,你静悄悄的走了过去，看见一堆支离破碎的僵尸肢体，而且满地都是血，但是在其中，你清楚的看见有一把纯银斧子，被一个教徒尸体紧握着，但是闪烁着火花的电闸即将爆炸，但是斧子却在教徒手上，你会,走过去
15,Z14,21|22|23,你刚打开家门，这已经算是死路一条了，但貌似还有一线生机。晕阙的同时发现有一辆停靠在电线杆旁边的600CC摩托车，那里又有几只僵尸游荡，心想徒手还是能应付过来的。你会,出门
16,Z15,15,在你往后退的同时，天花窟窿掉出来的液体把你的腿烫伤了，事后你缓过来但是行动力却大大减小。,后退
17,Z16,15,你用手机拍了张全景，还不够，再来了段小视频，这时候你走出家门，想要寻找粮食和装备。,拍个小视频
18,Z17,27|28|29,你沿着墙壁往前走，最后发现声音的来源是在一条小巷里面。里面有个精致的机械结构，发出着嘀嘀嘀的声音，而且还有一只僵尸在旁边的闸门虎视眈眈着机械上的发声装置，你发现有一张标签贴在上面，写着“请帮帮我！”你感到很疑惑，并且在小巷中感到一种不安的危机感，你会,墙壁往前走
19,Z18,24|25|26,你记得有一条路通向贝斯特大商场的小路，你沿着这条小路走到了贝斯特，并且在商场外的捡到了一包塑胶炸弹。贝斯特商场二楼是食品店，三楼是服装店，四楼是家具卖场，仔细搜索应该还能找到一些有用的物品,继续往前走
20,Z19,15,当你捡起斧头的那一刻，说时迟那时快，瞬间那个拿着斧子的人复活了一样，但是没有下半身，只能牵强的在那爬行，你必须快速的找到另一条路，你会？,捡起斧头
21,Z20,,你拿到了一把瑞士军刀，来了一个胜利冲锋，冲向了僵尸群，但是你太高估你自己的水平了，你始终是一个肥宅。当你冲出去的时候，被一条晾在空中的底裤蒙住了眼睛，当你挣脱了的时候已经被一群僵尸包围了，但是一只狂暴僵尸从中跳了出来，把你打死了。,拿起家里的瑞士军刀来个斯巴达式的冲锋
22,Z21,18,你打电话给珍妮，但是打不通，挂了电话之后，你发现你的手机被黑了，不断地叫你充QB，还说哪里有可以免费领会员7钻的地方，于是你抱着尝试的决心，跟着程序走，来到了一条小巷。,打电话给珍妮
23,Z22,,你巧妙地引开了僵尸群，那600cc的超跑正闪耀着胜利的光芒，你骑上超跑，幸运的是，上面还有钥匙，你开走了超跑，离开了超级多僵尸的城市。,引开僵尸群
24,Z23,30|31,由于停电了，电梯已经不能用了，只能徒步走楼梯，但是楼道很窄，而且有点冒白灰，明显看出是一个豆腐渣工程，你低了下头，看到有一个僵尸从楼上的消防通道走了出来，而且越来越多僵尸从那个消防门走出来，你想为了食物的补充必须想些办法，你会,爬消防梯上去
25,Z24,,由于停电，你无法使用电梯，你放弃到达内部，而选择了另一家商场，在你寻找的途中，你发现一路上都有一条黄色的标记路线，而且你沿着这条路往前走，意外的发现这里是幸存者的集聚地，从此开始了你的末日求生之路,选择另一家商场
26,Z25,,你想到了另一种发放到达四楼。你很艰辛的来到了四楼，但是看见的只是一片狼藉不堪的废墟，你想在废墟中寻找一些东西，你翻开了一块木板，藏着的却是成堆的僵尸，他们一个一个的向你扑过来，你死了。,上四楼寻找东西防身
27,Z26,,你关闭了装置，发现这个装置好像似曾相识。你背后一凉，回头一看才知道是珍妮，你上前和她拥抱，她也很感动，她问你有没有被感染，她也说没有自己没有被感染，说完，她就带你去寻找其他的幸存者。,关闭装置，再向求救者呼喊
28,Z27,,在你砸烂了装置之后，僵尸停止了呼叫，你还向周围大喊，连续喊了几声，饥饿的僵尸从隔壁的墙壁里听见之后沸腾不已，你稍微感到害怕，而且感到很强烈的不安全感，你想跑出去小巷，发现僵尸已将小巷唯一的出路封死了，你没有办法，朝向前面的僵尸开了几枪，害怕的连装弹都在手抖，突然一只僵尸从你身后咬了你一口，你忍不住向他开了一枪，但是已经无力回天，你死了。,砸烂装置，悄悄地离开
29,Z28,19,你来到了小巷，什么也没做，只是瞧了瞧小巷的环境就感到不安，于是你就从小道逃走了，在途中你捡到了巧克力。,离开
30,Z29,32|33,你爬着破旧不堪的消防楼梯，在爬梯的过程中，看到了楼顶有个背着大背包的黑影快速从两栋楼中穿越，而且也有几只僵尸追着他，两只僵尸从你身边掉了下去，一只不敢过去，于是你爬到了楼顶，把僵尸踢了下去，看到那个人在楼顶上徘徊，你会,爬消防梯上去
31,Z30,32|34,你爬到了另一栋楼的楼顶，当你打开天台门的时候，发现一个背着背包的男人向你的方向冲过来，并从贝斯特的大楼穿越而来，他在理你很远的地方示意着他没有被感染，而且也向你示意友好。天台上吹着大风，你瑟瑟发抖，迎面而来的风刮着你的脸，你觉得又饿又冷，你会,从另一栋楼的楼顶跳过去
32,Z31,,你向他示意友好，并且他也分了一块巧克力给你，说这些剩下的食物是他们的必需品。但是你只知道你自己只有一点点过期的巧克力了。达成协议之后就一起寻找其他的资源，最后来到了幸存者的营地，仔细数数这里只有不到二十个人。,展示友好，问他要吃的
33,Z32,,然而你背对着那个人，单独进入了那个食品店。在食品店中你闻到一种极其恶臭的味道，像是很多种食物搅拌在一起，但又不是，你没忍着就呕吐了出来。你缓过来之后，发现里面有一些新鲜的食物，吃了之后，还是很饿，虽然能走，但是才想起来自己没有关门，很多僵尸已经沿着门走了进来，拦也拦不住，你被他们生吞了。,单独一人收集资源
34,Z33,,你开始向他示意友好，并且逐渐地靠近她，在他眼前你拿出还剩下一发子弹的手枪，你手指不经意地触碰到了扳机，(๑•̀ㅂ•́)و✧的一声，他就倒在了你的面前。你走到他面前，把他身上的所有东西都拿走了，并且把奄奄一息的他从高楼上扔下了僵尸群里，独自走向了自己的末日求生之路。,抢他的食物
